dicentes	dico	X	_
","		X	_
quia	quia	X	_
surrexit	surrigo	X	_
Ihesus	<unknown>	X	_
.	.	X	_
Prima	primus	X	_
Maria	iarius	X	_
dicit	dico	X	_
Rickmum	<unknown>	X	_
:	:	X	_
Tunc	<unknown>	X	_
procedunt	procedo	X	_
","		X	_
et	et	X	_
cantat	canto	X	_
prima	primus	X	_
recedens	recedo	X	_
versum	versus	X	_
","		X	_
deinde	deinde	X	_
secunda	secundus	X	_
tecundum	tecundum	X	_
versum	versus	X	_
","		X	_
deinde	deinde	X	_
tertia	tertius	X	_
ultimum	ulterior	X	_
versum	versus	X	_
","		X	_
ulterius	ulterior	X	_
procedendo	procedo	X	_
cantando	canto	X	_
:	:	X	_
Prima	primus	X	_
Maria	iarius	X	_
:	:	X	_
Ihesu	<unknown>	X	_
","		X	_
nostra	noster	X	_
redemptio	redemptio	X	_
","		X	_
amor	amor	X	_
et	et	X	_
desiderium	desiderium	X	_
","		X	_
deus	deus	X	_
creator	creator	X	_
omnium	omnis	X	_
","		X	_
homo	homo	X	_
in	in	X	_
fine	finis	X	_
temporum	tempus	X	_
.	.	X	_
Secunda	ecundus	X	_
Maria	iarius	X	_
:	:	X	_
Quae	qui	X	_
te	tu	X	_
vicit	vico	X	_
clementia	clementia	X	_
","		X	_
ut	ut	X	_
ferres	ferres	X	_
nostra	noster	X	_
crimina	crimina	X	_
","		X	_
crudelem	crudelis	X	_
mortem	mors	X	_
patiens	patiens	X	_
","		X	_
ut	ut	X	_
nos	ego	X	_
a	a	X	_
morte	mors	X	_
tolleres	tolles	X	_
.	.	X	_
Tertia	tertius	X	_
Maria	iarius	X	_
:	:	X	_
Inferni	<unknown>	X	_
claustra	clauster	X	_
penetrans	penetro	X	_
","		X	_
tuos	tuus	X	_
captivos	captivus	X	_
redimens	redimo	X	_
","		X	_
victor	victor	X	_
triumpho	triumphus	X	_
nobili	nobilis	X	_
","		X	_
ad	ad	X	_
dextram	dexter	X	_
patris	pater	X	_
residens	resido	X	_
.	.	X	_
Tertia	tertius	X	_
Maria	iarius	X	_
:	:	X	_
Cum	is	X	_
venissem	venio	X	_
ungere	ungo	X	_
mortuum	mortus	X	_
","		X	_
monumentum	monumentum	X	_
inveni	invenio	X	_
vacuum	vacuus	X	_
.	.	X	_
heu	hic	X	_
nescio	nescio	X	_
recte	rectus	X	_
discernere	discerno	X	_
","		X	_
ubi	ubi	X	_
possim	posse	X	_
magistrum	magister	X	_
quaerere	quaereo	X	_
.	.	X	_
heu	hic	X	_
","		X	_
heu	hic	X	_
","		X	_
heu	hic	X	_
redemptio	redemptio	X	_
Israel	<unknown>	X	_
","		X	_
ut	ut	X	_
quid	quis	X	_
mortem	mors	X	_
sustinuit	sustinuo	X	_
!	.	X	_
Salvator	valvator	X	_
in	in	X	_
specie	species	X	_
hortulani	hortulanis	X	_
cantat	canto	X	_
:	:	X	_
Mulier	iule	X	_
","		X	_
quid	quis	X	_
ploras	plora	X	_
?	.	X	_
quem	qui	X	_
quaeris	quaeris	X	_
?	.	X	_
Et	et	X	_
dicit	dico	X	_
tum	tum	X	_
hunc	hic	X	_
Rickmum	<unknown>	X	_
:	:	X	_
Maria	iarius	X	_
cantat	canto	X	_
etc.	breviata~loci~notatio	X	_
:	:	X	_
Domine	omen	X	_
","		X	_
si	si	X	_
tu	tu	X	_
sustulisti	sustulistus	X	_
eum	is	X	_
","		X	_
dicito	dico	X	_
mihi	ego	X	_
","		X	_
et	et	X	_
ubi	ubi	X	_
posuisti	pono	X	_
eum	is	X	_
","		X	_
et	et	X	_
ego	ego	X	_
eum	is	X	_
tollam	tolla	X	_
.	.	X	_
Et	et	X	_
dicit	dico	X	_
Richmum	<unknown>	X	_
.	.	X	_
Salvator	valvator	X	_
respondet	respondeo	X	_
rigmatice	rigmaticus	X	_
cantando	canto	X	_
:	:	X	_
Deinde	<unknown>	X	_
Maria	iarius	X	_
iterum	iterum	X	_
cantat	canto	X	_
rigmatice	rigmaticus	X	_
:	:	X	_
Dolor	olor	X	_
crescit	cresco	X	_
","		X	_
tremunt	tresco	X	_
praecordia	praecordium	X	_
de	de	X	_
magistri	magister	X	_
pii	pius	X	_
